Word,Original_Frequency
SPELL,540
WAND,321
DAH,48
DOH,38
GOAT,37
GOTH,21
DUH,20
COAT,20
DEF,19
NET,18
DOT,17
EAT,17
DEV,15
DOAT,15
GONE,15
DIF,14
DEN,13
DIE,13
EST,12
GOOD,12
EAR,11
DAY,11
DAD,11
GOAD,10
WHAT,10
ELSE,10
TEA,10
DAN,9
DIT,9
ATE,9
TAD,9
DOE,9
ACE,9
MOAT,9
ROT,9
TIN,8
TAT,8
SAD,8
HAT,8
WIND,8
NAE,8
ACHE,8
NIP,8
BOAT,8
LET,7
RAD,7
TOE,7
NODE,7
NOPE,7
RET,7
RAH,7
ECO,7
S--,7
AND,7
RAN,7
GOES,7
CAT,7
NIL,7
N--,7
H--,7
DAK,7
APNEA,7
GORE,7
DEL,7
NAB,7
NOBLES,7
GOAL,6
ASH,6
NIT,6
ART,6
DON,6
I--,6
WANE,6
ELS,6
ZED,6
NUT,6
ETH,6
THE,6
E--,6
NOTE,6
NOT,6
NEST,6
DAM,6
NOBLER,6
TOY,6
TIE,6
KIT,6
OAT,6
DIB,6
A--,6
DAB,6
NOD,6
DIM,6
NEAT,6
M--,6
TAP,6
TAB,5
RIB,5
NOR,5
NICE,5
BIN,5
DEP,5
TIS,5
NAY,5
GOON,5
NEB,5
GET,5
MAT,5
ROE,5
TARE,5
PET,5
THEE,5
TET,5
HER,5
DUE,5
WANT,5
DATE,5
WALE,5
MET,5
WAIL,5
WENT,5
HAS,5
HEM,5
NEE,5
NUB,5
WORT,5
TEN,5
DIN,5
AXEL,5
NAN,5
TIC,5
RETE,5
KIR,5
NOB,5
ERE,5
SET,5
TAN,5
SENT,5
BAH,5
MAN,4
ISLE,4
ARK,4
AGED,4
R--,4
PATE,4
AGEE,4
HELP,4
THIS,4
SAT,4
WIRE,4
COW,4
HAD,4
TAG,4
ANT,4
SAE,4
MED,4
AAHS,4
APE,4
WAR,4
HEN,4
THEN,4
ATOM,4
RID,4
CUM,4
GOSH,4
L--,4
T--,4
GEL,4
NONE,4
WARE,4
RASH,4
TOG,4
SIT,4
CAR,4
WART,4
NEW,4
ORC,4
TEAM,4
CAD,4
REX,4
NINE,4
NESS,4
LEA,4
TOW,4
LIT,4
WONT,4
COD,4
ARE,4
BED,4
WEST,4
ACID,4
GEM,4
SERE,4
MEH,4
ACETA,4
GOLD,4
BET,4
KAT,4
BAT,4
NEAR,4
HOT,4
ALE,4
HET,4
AKIN,4
EYE,4
CEE,4
ROM,4
A---,4
RIP,4
TAR,4
K--,4
ROLES,4
HAOS,4
WILT,4
TAE,4
VASA,4
TIP,4
BIT,4
O---,4
RUN,4
ASHY,4
GOOK,4
ITEM,4
ACNE,4
BLAH,4
RENTE,4
TOES,4
NAH,4
TOD,4
ECHE,3
DALE,3
THAT,3
ARKS,3
DOR,3
GOBS,3
WEED,3
TABU,3
TUN,3
ROB,3
IRE,3
YET,3
ITS,3
TEE,3
DOC,3
PAT,3
A--E,3
ANTE,3
ETNA,3
YULE,3
